idx	rho	beta	gamma	method	metric	perf
27	0.2	-inf	-inf	Naive	AveP	0.03785473838447795
27	0.2	-inf	-inf	RWR w/ GDC	Prec@100	0.14
27	0.2	-inf	-inf	RWR w/ GDC	Prec@200	0.12
27	0.2	-inf	-inf	RWR w/ GDC	AveP	0.0650627628183253
27	0.2	-inf	-inf	mND	Prec@100	0.18
27	0.2	-inf	-inf	mND	Prec@200	0.165
27	0.2	-inf	-inf	mND	AveP	0.09021095248613818
27	0.2	-inf	-inf	RWR	Prec@100	0.19
27	0.2	-inf	-inf	RWR	Prec@200	0.165
27	0.2	-inf	-inf	RWR	AveP	0.08332100333596452
28	0.2	-inf	-inf	Naive	Prec@100	0.0
28	0.2	-inf	-inf	Naive	Prec@200	0.0
28	0.2	-inf	-inf	Naive	AveP	0.03776032945829852
28	0.2	-inf	-inf	RWR w/ GDC	Prec@100	0.16
28	0.2	-inf	-inf	RWR w/ GDC	Prec@200	0.13
28	0.2	-inf	-inf	RWR w/ GDC	AveP	0.0667909662575956
28	0.2	-inf	-inf	mND	Prec@100	0.19
28	0.2	-inf	-inf	mND	Prec@200	0.175
28	0.2	-inf	-inf	mND	AveP	0.09358960299663291
28	0.2	-inf	-inf	RWR	Prec@100	0.2
28	0.2	-inf	-inf	RWR	Prec@200	0.17
28	0.2	-inf	-inf	RWR	AveP	0.08627927953709777
29	0.2	-inf	-inf	Naive	Prec@100	0.0
29	0.2	-inf	-inf	Naive	Prec@200	0.0
29	0.2	-inf	-inf	Naive	AveP	0.03676060473198166
29	0.2	-inf	-inf	RWR w/ GDC	Prec@100	0.15
29	0.2	-inf	-inf	RWR w/ GDC	Prec@200	0.125
29	0.2	-inf	-inf	RWR w/ GDC	AveP	0.06550245886468645
29	0.2	-inf	-inf	mND	Prec@100	0.19
29	0.2	-inf	-inf	mND	Prec@200	0.17
29	0.2	-inf	-inf	mND	AveP	0.08977848724290219
29	0.2	-inf	-inf	RWR	Prec@100	0.21
29	0.2	-inf	-inf	RWR	Prec@200	0.165
29	0.2	-inf	-inf	RWR	AveP	0.08527797719457074
0	0.2	0.5	-inf	RWR + Curv	Prec@100	0.21
0	0.2	0.5	-inf	RWR + Curv	Prec@200	0.15
0	0.2	0.5	-inf	RWR + Curv	AveP	0.08191459823612307
0	0.2	0.5	-inf	RWR + Prior(uKIN, Curv)	Prec@100	0.21
0	0.2	0.5	-inf	RWR + Prior(uKIN, Curv)	Prec@200	0.18
0	0.2	0.5	-inf	RWR + Prior(uKIN, Curv)	AveP	0.09631285497171768
0	0.2	0.5	-inf	RWR + Prior(uKIN) + Curv	Prec@100	0.24
0	0.2	0.5	-inf	RWR + Prior(uKIN) + Curv	Prec@200	0.18
0	0.2	0.5	-inf	RWR + Prior(uKIN) + Curv	AveP	0.08947504540136458
0	0.2	0.5	-inf	RWR + Prior(uKIN, Curv) + Curv	Prec@100	0.25
0	0.2	0.5	-inf	RWR + Prior(uKIN, Curv) + Curv	Prec@200	0.195
0	0.2	0.5	-inf	RWR + Prior(uKIN, Curv) + Curv	AveP	0.09555015662409558
1	0.2	0.5	-inf	RWR + Curv	Prec@100	0.2
1	0.2	0.5	-inf	RWR + Curv	Prec@200	0.14
1	0.2	0.5	-inf	RWR + Curv	AveP	0.08398487648073288
1	0.2	0.5	-inf	RWR + Prior(uKIN, Curv)	Prec@100	0.22
1	0.2	0.5	-inf	RWR + Prior(uKIN, Curv)	Prec@200	0.195
1	0.2	0.5	-inf	RWR + Prior(uKIN, Curv)	AveP	0.10243104342314946
1	0.2	0.5	-inf	RWR + Prior(uKIN) + Curv	Prec@100	0.22
1	0.2	0.5	-inf	RWR + Prior(uKIN) + Curv	Prec@200	0.185
1	0.2	0.5	-inf	RWR + Prior(uKIN) + Curv	AveP	0.09400625004073851
1	0.2	0.5	-inf	RWR + Prior(uKIN, Curv) + Curv	Prec@100	0.23
1	0.2	0.5	-inf	RWR + Prior(uKIN, Curv) + Curv	Prec@200	0.205
1	0.2	0.5	-inf	RWR + Prior(uKIN, Curv) + Curv	AveP	0.10147776034907108
2	0.2	0.5	-inf	RWR + Curv	Prec@100	0.2
2	0.2	0.5	-inf	RWR + Curv	Prec@200	0.145
2	0.2	0.5	-inf	RWR + Curv	AveP	0.08356886351312029
2	0.2	0.5	-inf	RWR + Prior(uKIN, Curv)	Prec@100	0.23
2	0.2	0.5	-inf	RWR + Prior(uKIN, Curv)	Prec@200	0.19
2	0.2	0.5	-inf	RWR + Prior(uKIN, Curv)	AveP	0.09962531135744992
2	0.2	0.5	-inf	RWR + Prior(uKIN) + Curv	Prec@100	0.23
2	0.2	0.5	-inf	RWR + Prior(uKIN) + Curv	Prec@200	0.185
2	0.2	0.5	-inf	RWR + Prior(uKIN) + Curv	AveP	0.09268507860285138
2	0.2	0.5	-inf	RWR + Prior(uKIN, Curv) + Curv	Prec@100	0.25
2	0.2	0.5	-inf	RWR + Prior(uKIN, Curv) + Curv	Prec@200	0.195
2	0.2	0.5	-inf	RWR + Prior(uKIN, Curv) + Curv	AveP	0.09915820862124734
3	0.2	0.5	-inf	RWR + Curv	Prec@100	0.2
3	0.2	0.5	-inf	RWR + Curv	Prec@200	0.135
3	0.2	0.5	-inf	RWR + Curv	AveP	0.0778542811704431
3	0.2	0.5	-inf	RWR + Prior(uKIN, Curv)	Prec@100	0.21
3	0.2	0.5	-inf	RWR + Prior(uKIN, Curv)	Prec@200	0.16
3	0.2	0.5	-inf	RWR + Prior(uKIN, Curv)	AveP	0.09248462827820247
3	0.2	0.5	-inf	RWR + Prior(uKIN) + Curv	Prec@100	0.22
3	0.2	0.5	-inf	RWR + Prior(uKIN) + Curv	Prec@200	0.15
3	0.2	0.5	-inf	RWR + Prior(uKIN) + Curv	AveP	0.08454029010359057
3	0.2	0.5	-inf	RWR + Prior(uKIN, Curv) + Curv	Prec@100	0.22
3	0.2	0.5	-inf	RWR + Prior(uKIN, Curv) + Curv	Prec@200	0.17
3	0.2	0.5	-inf	RWR + Prior(uKIN, Curv) + Curv	AveP	0.0906164137659298
4	0.2	0.5	-inf	RWR + Curv	Prec@100	0.23
4	0.2	0.5	-inf	RWR + Curv	Prec@200	0.165
4	0.2	0.5	-inf	RWR + Curv	AveP	0.08842576133152256
4	0.2	0.5	-inf	RWR + Prior(uKIN, Curv)	Prec@100	0.24
4	0.2	0.5	-inf	RWR + Prior(uKIN, Curv)	Prec@200	0.2
4	0.2	0.5	-inf	RWR + Prior(uKIN, Curv)	AveP	0.10303162723876458
4	0.2	0.5	-inf	RWR + Prior(uKIN) + Curv	Prec@100	0.23
4	0.2	0.5	-inf	RWR + Prior(uKIN) + Curv	Prec@200	0.19
4	0.2	0.5	-inf	RWR + Prior(uKIN) + Curv	AveP	0.09503914030626684
4	0.2	0.5	-inf	RWR + Prior(uKIN, Curv) + Curv	Prec@100	0.27
4	0.2	0.5	-inf	RWR + Prior(uKIN, Curv) + Curv	Prec@200	0.225
4	0.2	0.5	-inf	RWR + Prior(uKIN, Curv) + Curv	AveP	0.1010122971218223
5	0.2	0.5	-inf	RWR + Curv	Prec@100	0.22
5	0.2	0.5	-inf	RWR + Curv	Prec@200	0.155
5	0.2	0.5	-inf	RWR + Curv	AveP	0.08568640392363455
5	0.2	0.5	-inf	RWR + Prior(uKIN, Curv)	Prec@100	0.25
5	0.2	0.5	-inf	RWR + Prior(uKIN, Curv)	Prec@200	0.2
5	0.2	0.5	-inf	RWR + Prior(uKIN, Curv)	AveP	0.1018442632909089
5	0.2	0.5	-inf	RWR + Prior(uKIN) + Curv	Prec@100	0.25
5	0.2	0.5	-inf	RWR + Prior(uKIN) + Curv	Prec@200	0.195
5	0.2	0.5	-inf	RWR + Prior(uKIN) + Curv	AveP	0.09446674975284661
5	0.2	0.5	-inf	RWR + Prior(uKIN, Curv) + Curv	Prec@100	0.25
5	0.2	0.5	-inf	RWR + Prior(uKIN, Curv) + Curv	Prec@200	0.205
